"Ligand","Receptor","Score"
"1","HMGB1","ITGB2",3.52609877325809
"2","NCAM1","FCGR3A",3.46342477480028
"3","APP","C3AR1",3.21353949786183
"4","APP","CXCR4",3.18737165951755
"5","APP","FPR1",3.03208738431701
"6","APP","FCGR3A",3.03073017465623
"7","APP","SORL1",2.74346475746947
"8","NCAM1","PTPRC",2.69688664057295
"9","APP","C5AR1",2.61060679152688
"10","HMGB1","TLR2",2.28196464170997
"11","APP","TNFRSF1B",1.98604714862139
"12","APP","TLR2",1.9797165911716
"13","APP","LRP1",1.76687307785388
"14","HMGB1","ITGB1",1.72047689744989
"15","APP","ALOX5",1.68154267774241
"16","HMGB1","ITGAM",1.67194964481875
"17","NCAM1","ITGAM",1.6285071247657
"18","NCAM1","TNFRSF1A",1.52541520481748
"19","HMGB1","TLR4",1.43230449766492
"20","HMGB1","TLR1",1.40749716749718
"21","APP","CCR1",1.38017593904022
"22","APP","TNFRSF21",1.37737427665672
"23","APP","TNFRSF1A",1.32422389025689
"24","NCAM1","NCSTN",1.32212536443485
"25","APP","TGFBR2",1.28516473266663
"26","HMGB1","LY96",1.23266358237969
"27","APP","NCSTN",1.21182074498797
"28","ADAM17","AXL",1.14255831864557
"29","BMP2","RGMB",1.1219410720614
"30","PKD1","ATP5B",1.09870665541122
"31","JAM2","JAM3",1.08371643761598
"32","ADAM17","TNFRSF1B",1.04779370661286
"33","LRPAP1","SORL1",0.999275510500896
"34","APP","TLR4",0.970088328133952
"35","JAM2","ITGB1",0.940192309245551
"36","LRPAP1","LRP1",0.909791994291287
"37","APP","TNFRSF14",0.906346091770357
"38","PIK3CB","TREM2",0.874859694082316
"39","PKD1","PKD2",0.872898762253855
"40","TNFSF15","TNFRSF25",0.868776248321057
"41","HMGB1","AGTRAP",0.865662531139472
"42","APP","SORT1",0.841329017172396
"43","BMP2","BMPR2",0.813491179834636
"44","HMGB1","ITGAV",0.776605279212007
"45","ADAM17","TNFRSF1A",0.735749008546305
"46","ADAM17","IL6R",0.726282631025074
"47","PIK3CB","FCGR2A",0.724750849010665
"48","ICAM1","SPN",0.705174675585845
"49","ADAM17","ITGB1",0.691723821966514
"50","PIK3CB","FCGR3A",0.681109647927259
