"Ligand","Receptor","Score"
"1","IL1B","CALM1",5.44065342625005
"2","IL1B","PRNP",4.42050586913429
"3","SPP1","CALM1",4.35933833569854
"4","TNF","RPSA",4.33547532271098
"5","IL1B","EGFR",4.01415955033287
"6","CALR","RPSA",3.98933019430011
"7","TNF","PTPRZ1",3.77258387412872
"8","IL1B","GABBR1",3.37687770485454
"9","SPP1","EGFR",3.27783328390585
"10","CALR","ATP5B",2.99357489697772
"11","TNF","CALM1",2.88946632625071
"12","TNF","PTPRS",2.86107299211752
"13","IL1B","LRP1",2.8174856377268
"14","CALR","CALM1",2.61625822727116
"15","SPP1","NCSTN",2.3589579530883
"16","TNF","PRNP",2.31945356383469
"17","IL1B","NOTCH1",2.24235597052259
"18","IL1B","CD47",2.21925798655221
"19","TNF","EGFR",2.17241982292567
"20","IL1B","ITGB1",2.13986962269337
"21","CALR","EGFR",2.09611367847993
"22","TNF","DDR1",1.98386797333792
"23","COPA","ATP5B",1.98266770010022
"24","CXCL12","RPSA",1.85154129604983
"25","TNF","GABBR1",1.7733899669861
"26","SPP1","ITGB1",1.74455298312484
"27","CALR","LRP1",1.73429714491511
"28","CALR","GABBR1",1.6488600902394
"29","IGF1","RPSA",1.64008320170808
"30","IL1B","INSR",1.57692733448984
"31","TNF","TNFRSF21",1.5477899459198
"32","MIF","EGFR",1.54085427442531
"33","TNF","LRP1",1.52297806647963
"34","IL1B","IGF1R",1.50441586612646
"35","CALR","NCSTN",1.4383774059571
"36","IL1B","DAG1",1.41133731499513
"37","TNF","CDH2",1.38851393724577
"38","COPA","EGFR",1.34705631573942
"39","IL1B","IL1RAP",1.23460350517142
"40","TNF","NOTCH1",1.18360300707765
"41","SEMA4D","PLXNB1",1.16633231187629
"42","TNF","ITGB1",1.12057478799768
"43","TNF","DAG1",1.07384711047989
"44","IL1B","SORT1",1.05654520850212
"45","TNF","CELSR2",1.04080543453815
"46","TNF","GPR17",1.00473324012095
"47","COPA","NCSTN",1.00252089769339
"48","TNF","PKD1",0.994831126731633
"49","SPP1","ITGAV",0.954196783070553
"50","IGF1","IGF1R",0.942352232219737
