"Ligand","Receptor","Score"
"1","BMP2","RGMB",1.26886795827867
"2","IL11","IL11RA",1.0933615532986
"3","APP","TNFRSF21",0.963564490298628
"4","PKD1","PKD2",0.904228089071809
"5","BMP7","BMPR2",0.891739301779863
"6","IL10","IL10RA",0.86976511502717
"7","IL10","IL10RB",0.863884762154697
"8","ICAM1","SPN",0.863148515952939
"9","BMP2","BMPR2",0.830081918965643
"10","CCL5","CCR1",0.796654332008919
"11","BMP7","ACVR2A",0.795972700279443
"12","PLXNB3","SEMA5A",0.773779392150827
"13","ADIPOQ","ADIPOR1",0.730702249399537
"14","CCL5","CCR5",0.723466999126206
"15","ADIPOQ","ADIPOR2",0.69559329143543
"16","APP","SORL1",0.648204425236966
"17","FGF5","FGFR1",0.631270698915963
"18","HMGB1","TLR4",0.594092723136856
"19","CCL5","PIGR",0.551797674569981
"20","IL11","IL6ST",0.540864262754444
"21","PIK3CB","TREM2",0.531703882901619
"22","APP","LRP1",0.511968726300922
"23","APP","ROBO3",0.510398976211905
"24","APP","CD36",0.500673288537109
"25","LRPAP1","LRP1",0.486493867489844
"26","ADAM17","NOTCH1",0.481738340608718
"27","ADAM17","IL6R",0.481629489806837
"28","PIK3CB","KLRD1",0.481118435501952
"29","DLL3","NOTCH1",0.472999292786057
"30","ADAM17","GHR",0.470600039451137
"31","HLA-E","PLXNB2",0.46093201211218
"32","FGF5","FGFR2",0.448572987232142
"33","APP","TGFBR2",0.441123409872093
"34","PIK3CB","FCGR2A",0.440702341372335
"35","IL10","IFNAR2",0.416631930992497
"36","HLA-E","PLXNA3",0.409379775460498
"37","ICAM1","ITGAX",0.40875449117304
"38","PIK3CB","AXL",0.407636627771349
"39","APP","TNFRSF14",0.406006334605716
"40","GDF11","TGFBR1",0.400790755109038
"41","HMGB1","LY96",0.398844989140102
"42","CCL5","C5AR1",0.395555201516547
"43","PLXNB3","MET",0.381805793466126
"44","ADAM17","TNFRSF1B",0.369319140177306
"45","APP","NOTCH1",0.353895823618289
"46","APP","ALOX5",0.352380621326155
"47","BMP2","ACVR2A",0.346663569292726
"48","DLL3","NOTCH2",0.346522759177716
"49","BMP7","RGMB",0.344247580887101
"50","PIK3CB","FCGR3A",0.341563624333981
