"Ligand","Receptor","Score"
"1","ITGAM","JAM3",1.27410318850532
"2","JAM2","JAM3",1.27287447834719
"3","TDGF1","ACVR1B",0.913765164209772
"4","BMP7","BMPR2",0.891739301779863
"5","SEMA5A","PLXNB3",0.873316492623475
"6","ITGB1","CD46",0.861336821736586
"7","BMP7","ACVR2A",0.795972700279443
"8","PLXNB2","PVRIG",0.723645201657622
"9","BMP7","ACVR2B",0.660087497954821
"10","FGF5","FGFR1",0.631270698915963
"11",NA,"JAM2",0.610243816266061
"12",NA,"JAM2",0.610243816266061
"13","TDGF1","ACVR2A",0.604953913336047
"14","TNC","CNTN1",0.601226684016979
"15",NA,"JAM3",0.527918302406054
"16",NA,"JAM3",0.527918302406054
"17","ITGAM","ICAM1",0.494864227834824
"18","PIK3CB","KLRD1",0.481118435501952
"19","TNFSF14","TNFRSF6B",0.459654839432684
"20","TNC","PTPRB",0.454548057229063
"21","FGF5","FGFR2",0.448572987232142
"22","ITGB1","FLT4",0.439234509134513
"23","TDGF1","GPC1",0.438422761541161
"24","DSC3","RYK",0.433876024535178
"25","PIK3CB","AXL",0.407636627771349
"26","PIK3CB","GFRA1",0.402862345811704
"27","PIK3CB","KLRK1",0.396089309283829
"28","PIK3CB","ERBB3",0.38511909581142
"29","ITGB1","CD47",0.37047288854909
"30","WNT7B","FZD3",0.351453990261573
"31","ITGB1","IGF1R",0.346889627892154
"32","ITGA4","ITGB1",0.32887120100899
"33","JAM2","F11R",0.326519703374384
"34","ICAM4","ITGB1",0.306368676633559
"35","SPP1","NCSTN",0.300017165510666
"36","ICAM4","ITGAL",0.294953702193005
"37","PIK3CB","FGFR2",0.293659672987979
"38","PIK3CB","CD3G",0.291020788607588
"39","ITGB1","DAB2",0.289019313410645
"40","PLXNB2","PTPRK",0.278725090260242
"41","WNT7B","FZD4",0.277854983292868
"42","TNC","SDC3",0.275715556681802
"43","PIK3CB","TNFRSF10B",0.270017059050465
"44","PLXNB2","PTCH1",0.269566393069036
"45","TDGF1","ACVR2B",0.267862619744062
"46",NA,"SORT1",0.266002099764176
"47",NA,"SORT1",0.266002099764176
"48","PIK3CB","FGFR1",0.265842976652121
"49","WNT7B","LRP5",0.258745384638981
"50","TNC","EGFR",0.258043665797532
