"Ligand","Receptor","Score"
"1","IL6","IL6R",1.06927797671299
"2","SEMA4D","PLXNB1",0.905012370968716
"3","BMP7","BMPR2",0.891739301779863
"4","SEMA5A","PLXNB3",0.873316492623475
"5","IGF1","IGF1R",0.831915644489336
"6","BMP7","ACVR2A",0.795972700279443
"7","IL6","IL6ST",0.787831019692041
"8","CALR","SCARF1",0.782052651964811
"9","TGFB1","TGFBR1",0.779079048126132
"10","PLXNB2","PVRIG",0.723645201657622
"11","TNF","TNFRSF1B",0.703577697561654
"12","INHBA","ACVR2A",0.699611373669873
"13","IL1B","IL1RAP",0.680062244361278
"14","BMP7","ACVR2B",0.660087497954821
"15","CDH1","PKD1",0.635170243331014
"16","FGF5","FGFR1",0.631270698915963
"17","IGF1","INSR",0.614300565222953
"18","TNC","CNTN1",0.601226684016979
"19","TNF","FLT4",0.597929173036139
"20","TGFA","ERBB4",0.563302963228826
"21","INHBA","ACVR2B",0.546248277387592
"22","TNF","NEO1",0.540852547563468
"23","TNF","PTPRS",0.531487497818123
"24","INHBA","ACVR1B",0.530685127554615
"25","CALR","LRP1",0.510877418586597
"26","TGFB1","BMPR1A",0.501397932791088
"27","CDH1","ITGAE",0.497098133676651
"28","TNF","PTPRZ1",0.483219126172915
"29","TNF","DAG1",0.477455224687969
"30","TNC","PTPRB",0.454548057229063
"31","FGF5","FGFR2",0.448572987232142
"32","DSC3","RYK",0.433876024535178
"33","TNF","CELSR2",0.425809565751151
"34","TGFB1","F11R",0.412821019974249
"35","TGFB1","ERBB2",0.408564532940107
"36","TNF","PLXNA2",0.407679525754549
"37","TGFB1","ITGAV",0.398951336367493
"38","CDH1","CDH2",0.376368947924415
"39","TNF","TNFRSF21",0.376234095367595
"40","TGFA","ERBB2",0.365930658480146
"41","TNF","RASA3",0.35590483262188
"42","CDH1","EGFR",0.351445048896105
"43","IL6","CNTFR",0.335019831493794
"44","TNF","PCDH7",0.328323016190999
"45","TGFA","EGFR",0.327860357450661
"46","CDH1","FGFR1",0.315415639604708
"47","TGFB1","BAMBI",0.310694065640517
"48","CDH1","LRP6",0.306471879579081
"49","CDH1","F11R",0.30287459408788
"50","SPP1","NCSTN",0.300017165510666
