"Ligand","Receptor","Score"
"1","TNFSF15","TNFRSF25",1.07624837484207
"2","TNFSF14","TNFRSF14",1.04423548801219
"3","ITGAL","F11R",1.00383969605674
"4","APP","TNFRSF21",0.963564490298628
"5","IL10","IL10RA",0.86976511502717
"6","IL10","IL10RB",0.863884762154697
"7","IGF1","IGF1R",0.831915644489336
"8","CALR","SCARF1",0.782052651964811
"9","ADIPOQ","ADIPOR1",0.730702249399537
"10","ADIPOQ","ADIPOR2",0.69559329143543
"11","TNFSF14","LTBR",0.686973451503675
"12","APP","SORL1",0.648204425236966
"13","MIF","CD74",0.616099017851631
"14","IGF1","INSR",0.614300565222953
"15","CADM3","CADM1",0.611051957982264
"16","CRTAM","CADM1",0.542210433418486
"17","JAG1","CD46",0.514304176754214
"18","APP","LRP1",0.511968726300922
"19","CALR","LRP1",0.510877418586597
"20","APP","ROBO3",0.510398976211905
"21","JAG1","NOTCH1",0.504296567444277
"22","APP","CD36",0.500673288537109
"23","DLL1","NOTCH2",0.499903320363215
"24","APP","CD74",0.489803038184693
"25","ADAM17","NOTCH1",0.481738340608718
"26","ADAM17","IL6R",0.481629489806837
"27","CALR","CD40",0.48119622876663
"28","DLL3","NOTCH1",0.472999292786057
"29","ADAM17","GHR",0.470600039451137
"30","ITGAL","ICAM1",0.459955516449965
"31","JAG1","NOTCH2",0.456563967419717
"32","TNC","PTPRB",0.454548057229063
"33","APP","TGFBR2",0.441123409872093
"34","DLL1","NOTCH1",0.438676797398796
"35","IL10","IFNAR2",0.416631930992497
"36","APP","TNFRSF14",0.406006334605716
"37","MIF","TNFRSF14",0.405857354252876
"38","TNC","ITGA9",0.403611024860497
"39","APP","PRNP",0.391507462157382
"40","APP","IGF1R",0.384483165441688
"41","ADAM17","TNFRSF1B",0.369319140177306
"42","APP","NOTCH1",0.353895823618289
"43","APP","ALOX5",0.352380621326155
"44",NA,"NOTCH4",0.346663079159761
"45",NA,"NOTCH4",0.346663079159761
"46","DLL3","NOTCH2",0.346522759177716
"47","NLGN3","TGFBR1",0.332781613317684
"48","PTPRT","NRXN3",0.316614172091228
"49","ADAM17","TNFRSF1A",0.316229024583641
"50","APP","VIPR2",0.304238503440997
