"Ligand","Receptor","Score"
"1","TNFSF15","TNFRSF25",1.07624837484207
"2","TNFSF14","TNFRSF14",1.04423548801219
"3","PKD1","PKD2",0.904228089071809
"4","IL10","IL10RA",0.86976511502717
"5","IL10","IL10RB",0.863884762154697
"6","ICAM1","SPN",0.863148515952939
"7","CCL5","CCR1",0.796654332008919
"8","PLXNB3","SEMA5A",0.773779392150827
"9","ADIPOQ","ADIPOR1",0.730702249399537
"10","CCL5","CCR5",0.723466999126206
"11","ADIPOQ","ADIPOR2",0.69559329143543
"12","TNFSF14","LTBR",0.686973451503675
"13","WNT5A","FZD1",0.654546849935536
"14","FGF5","FGFR1",0.631270698915963
"15","HMGB1","TLR4",0.594092723136856
"16","WNT5A","FZD2",0.565345979887588
"17","WNT5A","FZD3",0.554847310062194
"18","CCL5","PIGR",0.551797674569981
"19","IL11","IL6ST",0.540864262754444
"20","PIK3CB","TREM2",0.531703882901619
"21","SPN","SIGLEC1",0.520675994351927
"22","CCL5","SDC4",0.488348219681343
"23","SEMA4D","PTPRC",0.487573387937797
"24","LRPAP1","LRP1",0.486493867489844
"25","ADAM17","NOTCH1",0.481738340608718
"26","ADAM17","IL6R",0.481629489806837
"27","PIK3CB","KLRD1",0.481118435501952
"28","FN1","ITGA5",0.476878121485994
"29","WNT5A","FZD5",0.475568367331019
"30","ADAM17","GHR",0.470600039451137
"31","HLA-E","PLXNB2",0.46093201211218
"32","FGF5","FGFR2",0.448572987232142
"33","PIK3CB","FCGR2A",0.440702341372335
"34","FN1","ITGB1",0.433977464142074
"35","NAMPT","IGF1R",0.422350320898565
"36","IL10","IFNAR2",0.416631930992497
"37","ICAM1","IL2RG",0.413630673218242
"38","HLA-E","PLXNA3",0.409379775460498
"39","ICAM1","ITGAX",0.40875449117304
"40","PIK3CB","AXL",0.407636627771349
"41","PIK3CB","GFRA1",0.402862345811704
"42","HMGB1","LY96",0.398844989140102
"43","CCL5","C5AR1",0.395555201516547
"44","CCL5","CCR7",0.393353104612388
"45","WNT5A","FZD4",0.369347977944805
"46","ADAM17","TNFRSF1B",0.369319140177306
"47","NAMPT","INSR",0.368228630613489
"48","PIK3CB","FCGR3A",0.341563624333981
"49","PIK3CB","FCGR1A",0.340127871624155
"50","HMGB1","AGTRAP",0.330874204057404
