"Ligand","Receptor","Score"
"1","CSF1","CSF1R",1.3399142492834
"2","IL11","IL11RA",1.0933615532986
"3","GAS6","AXL",1.04100463036071
"4","GAS6","MERTK",1.02666185385441
"5","APP","TNFRSF21",0.963564490298628
"6","IL10","IL10RA",0.86976511502717
"7","IL10","IL10RB",0.863884762154697
"8","ICAM1","SPN",0.863148515952939
"9","HLA-G","KLRD1",0.833416507536589
"10","CCL5","CCR1",0.796654332008919
"11","PLXNB3","SEMA5A",0.773779392150827
"12","ADIPOQ","ADIPOR1",0.730702249399537
"13","CCL5","CCR5",0.723466999126206
"14","ADIPOQ","ADIPOR2",0.69559329143543
"15","FGF1","FGFR1",0.682507628090637
"16","FGF1","FGFR2",0.653003499648099
"17","APP","SORL1",0.648204425236966
"18","FGF5","FGFR1",0.631270698915963
"19","HMGB1","TLR4",0.594092723136856
"20","CSF1","CLDN11",0.587382969406184
"21","TGFB3","TGFBR2",0.556736512164169
"22","CCL5","PIGR",0.551797674569981
"23","IL11","IL6ST",0.540864262754444
"24","TGFB3","TGFBR1",0.519044477315392
"25","APP","LRP1",0.511968726300922
"26","APP","ROBO3",0.510398976211905
"27","APP","CD36",0.500673288537109
"28","LRPAP1","LRP1",0.486493867489844
"29","ADAM17","NOTCH1",0.481738340608718
"30","ADAM17","IL6R",0.481629489806837
"31","ADAM17","GHR",0.470600039451137
"32","FGF5","FGFR2",0.448572987232142
"33","APP","TGFBR2",0.441123409872093
"34","COL18A1","SELL",0.426079571298829
"35","IL10","IFNAR2",0.416631930992497
"36","ICAM1","ITGAX",0.40875449117304
"37","APP","TNFRSF14",0.406006334605716
"38","HMGB1","LY96",0.398844989140102
"39","CCL5","C5AR1",0.395555201516547
"40","FGF1","SDC2",0.395168664691792
"41","CSF1","CSF3R",0.387925467376123
"42","PLXNB3","MET",0.381805793466126
"43","ADAM17","TNFRSF1B",0.369319140177306
"44","APP","NOTCH1",0.353895823618289
"45","APP","ALOX5",0.352380621326155
"46","CSF1","CSF2RA",0.351804206334404
"47","HMGB1","AGTRAP",0.330874204057404
"48","AGT","OPRK1",0.323416619968671
"49","ADAM17","TNFRSF1A",0.316229024583641
"50","CCL5","GPR75",0.314421263502379
