"Ligand","Receptor","Score"
"1","ITGAM","JAM3",1.27410318850532
"2","LRRC4","NTNG2",0.898148856877594
"3","BMP7","BMPR2",0.891739301779863
"4","SEMA5A","PLXNB3",0.873316492623475
"5","IL10","IL10RB",0.863884762154697
"6","BMP7","ACVR2A",0.795972700279443
"7","CALM1","PDE1A",0.775038456131701
"8","OSM","OSMR",0.759289350533282
"9","TNF","TRAF2",0.731456803446933
"10","VEGFB","FLT1",0.726801572588755
"11","PLXNB2","PVRIG",0.723645201657622
"12","TNF","TNFRSF1B",0.703577697561654
"13","INHBA","ACVR2A",0.699611373669873
"14","BMP7","ACVR2B",0.660087497954821
"15","FGF5","FGFR1",0.631270698915963
"16","TNF","FLT4",0.597929173036139
"17","CALM1","KCNH1",0.592783346836187
"18","OSM","LIFR",0.58750224844725
"19","INHBA","ACVR2B",0.546248277387592
"20","ITGAM","IL6ST",0.540864262754444
"21","ITGAM","IL6ST",0.540864262754444
"22","TNF","NEO1",0.540852547563468
"23","TNF","PTPRS",0.531487497818123
"24","ITGAM","ICAM1",0.494864227834824
"25","PIK3CB","KLRD1",0.481118435501952
"26","CALM1","GP6",0.477967563289928
"27","TNF","DAG1",0.477455224687969
"28","TNC","PTPRB",0.454548057229063
"29","FGF5","FGFR2",0.448572987232142
"30","TNF","CELSR2",0.425809565751151
"31","NAMPT","IGF1R",0.422350320898565
"32","IL10","IFNAR2",0.416631930992497
"33","PIK3CB","AXL",0.407636627771349
"34","VEGFB","FAT1",0.404991709932327
"35","PIK3CB","ERBB3",0.38511909581142
"36","TNF","TNFRSF21",0.376234095367595
"37","NAMPT","INSR",0.368228630613489
"38","CALM1","MYLK",0.359634844152914
"39","TNF","RASA3",0.35590483262188
"40","EPGN","ERBB4",0.328980648040057
"41","CALM1","PDE1C",0.327476603732265
"42","TNF","FLT1",0.308730742849724
"43","PIK3CB","FGFR2",0.293659672987979
"44","PIK3CB","CD3G",0.291020788607588
"45","TNC","ITGAX",0.285048226403989
"46","PLXNB2","PTPRK",0.278725090260242
"47","PLXNB2","MET",0.277771101443595
"48","CALM1","TNFRSF1B",0.27756109262775
"49","PIK3CB","TNFRSF10B",0.270017059050465
"50","PLXNB2","PTCH1",0.269566393069036
